characters_before,characters_after,words_before,words_after,lines_before,lines_after,characters_removed,words_removed,lines_removed,compression_ratio,resume
6189,6019,886,886,157,143,170,0,14,0.9725,R-001
10140,9723,1269,1269,377,355,417,0,22,0.9589,R-002
7142,6777,898,896,209,188,365,2,21,0.9489,R-003
17684,17159,2397,2395,330,320,525,2,10,0.9703,R-004
11356,10995,1534,1534,288,284,361,0,4,0.9682,R-005
3946,3953,508,505,105,102,-7,3,3,1.0018,R-006
22026,21117,3120,3119,495,459,909,1,36,0.9587,R-007
5568,5574,792,798,115,115,-6,-6,0,1.0011,R-008
15430,15422,2046,2042,317,313,8,4,4,0.9995,R-009
5394,5299,684,683,204,203,95,1,1,0.9824,R-010
55849,54672,7581,7576,989,964,1177,5,25,0.9789,R-011
8472,8458,1138,1131,247,240,14,7,7,0.9983,R-012
8329,8297,1141,1125,179,163,32,16,16,0.9962,R-013
7682,7027,886,886,309,283,655,0,26,0.9147,R-014
4724,4736,650,644,87,81,-12,6,6,1.0025,R-015
20242,19613,2978,2978,564,534,629,0,30,0.9689,R-016
15548,14874,2026,2024,330,291,674,2,39,0.9567,R-017
70007,68325,9211,9201,1337,1287,1682,10,50,0.976,R-018
6457,6036,757,753,385,203,421,4,182,0.9348,R-019
28169,28081,3936,3870,547,481,88,66,66,0.9969,R-020
7258,6920,969,969,178,178,338,0,0,0.9534,R-021
7233,6613,829,827,244,201,620,2,43,0.9143,R-022
20733,19849,2928,2928,676,669,884,0,7,0.9574,R-023
7229,7066,962,962,198,194,163,0,4,0.9775,R-024
20634,19466,2823,2823,452,452,1168,0,0,0.9434,R-025
12934,12900,1696,1679,339,322,34,17,17,0.9974,R-026
41626,41523,6412,6337,813,738,103,75,75,0.9975,R-027
15372,12833,1849,1848,279,271,2539,1,8,0.8348,R-028
7314,6174,810,810,195,181,1140,0,14,0.8441,R-029
6074,5940,846,845,122,121,134,1,1,0.9779,R-030
7543,7262,996,995,144,138,281,1,6,0.9627,R-031
11634,10907,1559,1558,640,560,727,1,80,0.9375,R-032
20556,18971,2543,2541,1518,1473,1585,2,45,0.9229,R-033
9110,8775,1212,1212,219,213,335,0,6,0.9632,R-034
8337,8338,1199,1192,200,193,-1,7,7,1.0001,R-035
1962,1962,293,293,89,89,0,0,0,1.0,R-036
15390,12250,1704,1703,319,267,3140,1,52,0.796,R-037
16499,16206,2274,2273,326,322,293,1,4,0.9822,R-038
40884,40890,5578,5573,730,725,-6,5,5,1.0001,R-039
7717,7713,1070,1067,155,152,4,3,3,0.9995,R-040
